submitted_on,water_point_name,latitude,longitude,photo_condition_water_point,operational_feel_of_pump,time_to_pump_20_litres,number_of_strokes_to_yield_water,sediment_presence,electrical_conductivity_magnitude,electrical_conductivity_units,arsenic_magnitude,arsenic_units,ammonia_mg_per_l,fluoride_ppm,nitrate_mg_per_l,total_dissolved_solids_ppt,free_chlorine_mg_per_l,ph,temperature_magnitude,temperature_units,turbidity_tube_magnitude,turbidity_tube_units,comments,type_of_sample,date_of_sample,ecoli_mpn_per_100ml,ecoli_upper_95ci_per_100ml,ecoli_health_risk_category,ecoli_image
05/07/2019,Nankwakwala borehole 1,-15.9376061,35.4570186,https://api.mwater.co/v3/images/9727435aa9024ae3984c8f2b88be368a; https://api.mwater.co/v3/images/36846e3a8a5f4f37973bcadeb1d67afa,Normal/satisfactory,51.401,1,Present,622,μS / cm,0,ppb,0.4,0.2,0.6,0.3,0,7.92,25.3,C,10,NTU,The community is happy for rehabilitating the borehole,Point of collection,7/3/2019,0,2.87,safe,https://api.mwater.co/v3/images/bd2e43eae13b44ccbcdfdd9ab8eda640
23/02/2020,Nankwakwala borehole 1,-15.9376061,35.4570186,https://api.mwater.co/v3/images/2e4d65998ac349668721e721e542ecf5,Normal/satisfactory,40.714,2,Absent,660,μS / cm,0,ppb,0.78,0.12,0.6,0.33,0.95,6.71,30.2,C,5,NTU,NA,Point of collection,2/22/2020,0,2.87,safe,https://api.mwater.co/v3/images/e7d1d839e09644e4a63e572554d4b36e
07/07/2019,Misomali Borehole 2,-15.8672693,35.3606241,https://api.mwater.co/v3/images/8b66d48bbe5040bfa03e7e9bcdf2bab3; https://api.mwater.co/v3/images/058ccc0167f9424f8fb343626b1d0e00,Normal/satisfactory,38.562,3,Absent,1336,μS / cm,0,ppb,0.25,1.8,2,0.66,0,7.2,24,C,5,NTU,NA,Point of collection,6/27/2019,0,2.87,safe,https://api.mwater.co/v3/images/9ecc70b7a835480f9b37f37609172e73
22/06/2019,Chingoli primary school borehole,-15.9223421,35.3636388,https://api.mwater.co/v3/images/aad8bec0f09c4ed58336caeb8df71172,Normal/satisfactory,43.501,1,Present,1396,μS / cm,5,ppb,0.05,1.8,0.5,0.69,0.3,7.43,24.3,C,5,NTU,"The community and the school are happy for the rehabilitating,chlorinating and training on Cbm since they have been equiped with knowlwdge",Point of collection,6/21/2019,0,2.87,safe,https://api.mwater.co/v3/images/1d98f86ba5e54d89841138298122c987
06/07/2019,Gelegele,-15.94321649,35.46265336,https://api.mwater.co/v3/images/6465bd3a55994f3b9e8f149e1d535f79; https://api.mwater.co/v3/images/4747ed9792894467b01360cd2a6df09d,Normal/satisfactory,45.532,1,Absent,250,μS / cm,5,ppb,0.05,0.4,0.6,0.21,0.3,6.38,27.3,C,5,NTU,The bolehole is functioning CBM Training was done even chlorination,Point of collection,7/4/2019,0,2.87,safe,https://api.mwater.co/v3/images/cec6c705dfa649f6957b20ad202e8bcd
01/07/2019,Mulera borehole 2,-15.86353,35.5238767,https://api.mwater.co/v3/images/429f2648613e4adcbcb13f7bfa6794fe; https://api.mwater.co/v3/images/41bedf71f54a4813bcd62ab28a9a6cda; https://api.mwater.co/v3/images/d4ea3f613f3649f0ae0dff960fc8d99b,Normal/satisfactory,37.921,1,Absent,239.2,μS / cm,5,ppb,0.15,0.2,0.4,0.1,0,6.62,26.6,C,5,NTU,The borehole is now functioning satisfactorily and the community is happy and thankful for the rehabilitation  and the chlorination done.They have promised to sensitise all the community members to continue treating the water in their homes.,Point of collection,6/27/2019,0,2.87,safe,https://api.mwater.co/v3/images/b5b71af038b14447be4eaba9c4792872
09/12/2019,Mulera borehole 2,-15.86353,35.5238767,https://api.mwater.co/v3/images/3015b5e189554524b17d1ef56b095111; https://api.mwater.co/v3/images/40e08826cd544324b4935a9e616e39e7,Normal/satisfactory,42.191,2,Absent,250.01,μS / cm,0,ppb,0.38,0.2,0.1,0.12,0.6,6.9,31.5,C,5,NTU,NA,Point of collection,12/7/2019,0,2.87,safe,https://api.mwater.co/v3/images/36d9794bd3024943839cb66a3a1ac404
26/02/2020,Mulera borehole 2,-15.86353,35.5238767,https://api.mwater.co/v3/images/257c5d34d6124401b94b505726c8ce2a,Normal/satisfactory,53.966,2,Absent,362,μS / cm,0,ppb,0.31,0.11,0.1,0.12,0.3,7.3,31,C,5,NTU,NA,Point of collection,2/24/2020,0,2.87,safe,https://api.mwater.co/v3/images/107e17c856394347ad7c6bb9d0071304
06/07/2019,Nkhulera borehole,-15.86673,35.3853533,https://api.mwater.co/v3/images/c1dee9c0164b40ba92a7b8f9de7fcef4,Normal/satisfactory,43.401,9,Present,1325,μS / cm,5,ppb,0.05,0.8,0.1,0.69,0.4,7.18,34.2,C,5,NTU,The bolehole is functioning well,Point of collection,7/2/2019,0,2.87,safe,https://api.mwater.co/v3/images/fd8c524cbd95453c986dadca069a64bf
08/07/2019,Majiya,-15.9613602,35.3519504,https://api.mwater.co/v3/images/54c895848bbf48fcaf929b511466106b; https://api.mwater.co/v3/images/e7e4df836fcd46f8a7d0c009ada304d8; https://api.mwater.co/v3/images/6b6bbee3b86a40c9aa5483c44a18b6e4,Normal/satisfactory,54.64,1,Absent,655,μS / cm,5,ppb,0.25,0.2,0.6,0.31,0,6.78,25.2,C,5,NTU,NA,Point of collection,7/5/2019,0,2.87,safe,https://api.mwater.co/v3/images/cef078ca272a46b4a8fa7b7a26a85018
13/12/2019,Majiya,-15.9613602,35.3519504,https://api.mwater.co/v3/images/8b58646761d84cdaa8f39ecbfe4d3d53,Normal/satisfactory,85.652,5,Absent,711,μS / cm,0,ppb,0.36,0.02,0.13,0.26,1.1,7.4,28,C,5,NTU,"After filling one bucket, they have to wait longer to fill another bucket.",Point of collection,12/11/2019,0,2.87,safe,https://api.mwater.co/v3/images/306ab21d11a94cb9843e00d5b5fe4657
07/03/2020,Majiya,-15.9613602,35.3519504,https://api.mwater.co/v3/images/24aa4ffd8e614b2589c4c6a3e710fc40,Normal/satisfactory,47.241,2,Absent,711,μS / cm,0,ppb,0.36,0.02,0.13,0.21,0.3,7.1,30,C,5,NTU,NA,Point of collection,3/6/2020,0,2.87,safe,https://api.mwater.co/v3/images/c8555df45e2642dc8e58a2ed2a867b35
05/07/2019,Tepani borehole,-15.6734368,35.4725493,https://api.mwater.co/v3/images/65405b2ec2704709bf9caf2ff98bc0b5; https://api.mwater.co/v3/images/3561c5126aec487ea165c39c04b7eb3d,Normal/satisfactory,74.702,1,Absent,4.08,mS / cm,5,ppb,0,1.2,2,2.25,0.1,7.17,29.6,C,5,NTU,NA,Point of collection,7/4/2019,0,2.87,safe,https://api.mwater.co/v3/images/0c1e69c9dc9f4a9bb279b4d9a94e19d7
26/06/2019,Mwasa  p1 borehole  03,-15.9268141,35.3444328,https://api.mwater.co/v3/images/911f3c1d816d49be94adeb9095e37c70,Normal/satisfactory,51.131,2,Absent,941,μS / cm,5,ppb,0.25,0.1,1,0.46,0,7.26,26.1,C,5,NTU,NA,Point of collection,6/26/2019,0,2.87,safe,https://api.mwater.co/v3/images/9bff1fbcf89746f7bcd88720fa960550
25/06/2019,Mwasa 01 borehole 01,-15.9354233,35.3416313,https://api.mwater.co/v3/images/f671a3c54da846c7b6476c48631cc0de; https://api.mwater.co/v3/images/b1426df89bfe46dcafb837d5700d5d38,Normal/satisfactory,52.951,2,Present,720,μS / cm,5,ppb,0.19,0.2,0.2,0.26,0.18,7.26,25.6,C,10,NTU,"Due to chlorine and owing to the fact that the borehole had overstayed for about five years without use, the water was still silty and therefore unclear",Point of collection,6/25/2019,0,2.87,safe,https://api.mwater.co/v3/images/d5775d2aa35b4df3ad962f6cc6846439
09/12/2019,Mwasa 01 borehole 01,-15.9354233,35.3416313,https://api.mwater.co/v3/images/6c95cfe2d7654d4984598f233bcf9305; https://api.mwater.co/v3/images/fd8effb026bd4a568b3537447c0617f0,Normal/satisfactory,45.229,2,Absent,962,μS / cm,5,ppb,0.19,0.2,0.2,0.26,0.18,7.01,30.6,C,5,NTU,NA,Point of collection,12/8/2019,100,9435.1,unsafe,https://api.mwater.co/v3/images/77ccfe523d9a4708b6a412e4e1d31a21
27/06/2019,Liwakhwa borehole 1,-15.9402333,35.3814533,https://api.mwater.co/v3/images/7e333a3db9914d6095126e7ddd388d71; https://api.mwater.co/v3/images/e862aa20041a4d63ab8dd972b1c3f162,Normal/satisfactory,61.96,1,Absent,338,μS / cm,5,ppb,0.8,2,0.7,0.16,0.2,7,23.9,C,5,NTU,The bolehole is functioning fine,Point of collection,6/21/2019,0,2.87,safe,https://api.mwater.co/v3/images/54a37a41b89e4fe6b4047cd43570c1cf
07/07/2019,Kaphiri School Borehole,-15.8935539,35.358159,https://api.mwater.co/v3/images/3f74a5bd0c5c4c55a87665b785720113; https://api.mwater.co/v3/images/ae770d4487e84e96be8328d856920142,Normal/satisfactory,50.221,3,Absent,1036,μS / cm,0,ppb,0.4,0.4,2,0.52,0,7.37,26.7,C,5,NTU,NA,Point of collection,7/3/2019,0,2.87,safe,https://api.mwater.co/v3/images/b7f80e2267c4433485132dfefff21f81
06/07/2019,Mandanda,-15.9870246,35.4731088,https://api.mwater.co/v3/images/9f6c60e82077471487a0115daa2c2ea0; https://api.mwater.co/v3/images/344d6ddb01114bc694cff0c16b035801,Normal/satisfactory,44.871,1,Absent,132,μS / cm,5,ppb,0.05,2,1,0.06,0,7.01,30.1,C,5,NTU,The bolehole is functioning well,Point of collection,7/5/2019,0,2.87,safe,https://api.mwater.co/v3/images/be1beacec47d4a80a6f795164fe9d760
17/06/2019,Tchaluwa borehole 1,-15.9860957,35.4720897,https://api.mwater.co/v3/images/4f019e8115bb49eaac8d1c43b27a774e,Normal/satisfactory,49.55,1,Absent,1423,μS / cm,5,ppb,0.2,0.1,0.1,1.1,0,6.4,24.2,C,100,NTU,NA,Point of collection,6/14/2019,0,2.87,safe,https://api.mwater.co/v3/images/cace431c17cf421294fbc4d8c82a2e28
23/02/2020,Nkunguza Borehole 2,-15.9316672,35.4677417,https://api.mwater.co/v3/images/7a501d80c16a415d99ea6b4f26f008bc,Normal/satisfactory,46.468,2,Absent,128.1,μS / cm,0,ppb,0.15,0.3,0.1,0.6,0.25,7.1,30,C,50,NTU,NA,Point of collection,2/22/2020,0,2.87,safe,https://api.mwater.co/v3/images/a72eaae4730e40ba9b6a4013330181bb
08/07/2019,Mthuruwe school borehole,-15.8645418,35.5260068,https://api.mwater.co/v3/images/e42038fd4e3a4395bca06c749578ffc0,Normal/satisfactory,41.63,1,Absent,232.4,μS / cm,5,ppb,2.4,0.2,0.5,0.1,0,6.5,24.2,C,5,NTU,NA,Point of collection,6/24/2019,0,2.87,safe,https://api.mwater.co/v3/images/d401ed8b9bee4d7ea670535cb0f90836
09/12/2019,Mthuruwe school borehole,-15.8645418,35.5260068,https://api.mwater.co/v3/images/f0ce137bb1744df29f41b31e7117285e,Normal/satisfactory,52.743,3,Absent,236.8,μS / cm,0,ppb,0.3,0.12,0.4,0.11,0.6,6.8,31.1,C,5,NTU,NA,Point of collection,12/7/2019,0,2.87,safe,https://api.mwater.co/v3/images/b0ebc39553d54f3498434f2d14f8eb71
23/02/2020,Mthuruwe school borehole,-15.8645418,35.5260068,https://api.mwater.co/v3/images/0a59b40d5330488e9c5a8df663fce86e,Normal/satisfactory,44.132,2,Absent,210,μS / cm,0,ppb,0.15,0.12,0.19,0.1,0.3,6.8,29.7,C,5,NTU,NA,Point of collection,2/22/2020,0,2.87,safe,https://api.mwater.co/v3/images/4a66e2e8ccee4f7fb002535e75cbfd19
07/03/2020,Ndanga borehole 2,-15.6849905,35.3646794,https://api.mwater.co/v3/images/3630b84e4d304d0ea4fd5c4689aba335,Normal/satisfactory,58.152,3,Absent,2468,μS / cm,10,ppb,0.1,1.6,0.13,1.1,0.83,7.2,31.4,C,5,NTU,NA,Point of collection,2/28/2020,0,2.87,safe,https://api.mwater.co/v3/images/8a84cfaef0864c6a80f5f278ef08d300
02/07/2019,Nogwe water point 5,-15.8252161,35.512735,https://api.mwater.co/v3/images/5c789335a77842179448e4e52a3cf116; https://api.mwater.co/v3/images/3e6214b3db61496ca97d879a821e3cc7,Normal/satisfactory,37.631,1,Absent,668,μS / cm,5,ppb,0.15,0.2,0.1,0.33,0,7.3,26,C,5,NTU,NA,Point of collection,7/2/2019,0,2.87,safe,https://api.mwater.co/v3/images/2cce4a1b0ad145bf8d723f9cdd670f24
28/06/2019,Namoyo borehole  01,-15.9483433,35.3393417,https://api.mwater.co/v3/images/6bd1eca5d4cd4478a181b274cbc5701d; https://api.mwater.co/v3/images/762a67fc3d0f47eab42e51820eddc569,Normal/satisfactory,47.953,1,Absent,711,μS / cm,5,ppb,0.44,0.1,1.4,0.34,0,7.6,27.5,C,5,NTU,NA,Point of collection,6/25/2019,0,2.87,safe,https://api.mwater.co/v3/images/2dd4b3c0a313406bb50dc02a09a85923
22/06/2019,Mwawalo Proper Borehole,-15.8924996,35.4797809,https://api.mwater.co/v3/images/596252429ed542ee96e2bb161e8123d9; https://api.mwater.co/v3/images/e422f698a4174a82ba238807e92d4f6d; https://api.mwater.co/v3/images/d8a9e3f5c9984dae992174949e365508,Normal/satisfactory,45.6,1,Absent,430,μS / cm,5,ppb,0.05,0.2,0.2,0.2,0,6.48,24.2,C,5,NTU,The water flow after the rehabilitation has tremendously improved than before when it used to take nearly 7 strokes before water could start flowing.  The community intends to formulate bylaws to ensure the borehole is maintained all the time.,Point of collection,6/21/2019,0,2.87,safe,https://api.mwater.co/v3/images/6ed95f4b5a8d4bb0bccd4a797396fb2a
05/12/2019,Mwawalo Proper Borehole,-15.8924996,35.4797809,https://api.mwater.co/v3/images/5cc987aea9864440bce26b89367998f9,Normal/satisfactory,44.737,2,Absent,391,μS / cm,0,ppb,0.06,0.13,0.21,0.14,0,7.16,31.1,C,5,NTU,NA,Point of collection,12/4/2019,100,9435.1,unsafe,https://api.mwater.co/v3/images/82161ca28c684537bec9627b2a568aab
27/06/2019,Chiwanda borehole  01,-15.9253296,35.3460865,https://api.mwater.co/v3/images/41e88cf3eb6b4c9092069208e682859b; https://api.mwater.co/v3/images/8d406e56d1f54fb3b2c721ba61c93c50,Normal/satisfactory,58.323,3,Present,967,μS / cm,5,ppb,0.35,0.4,1,0.47,0.2,7.04,24,C,10,NTU,NA,Point of collection,6/27/2019,0,2.87,safe,https://api.mwater.co/v3/images/0a367bea72f045af965e064fae2fdddd
09/03/2020,Chiwanda borehole  01,-15.9253296,35.3460865,https://api.mwater.co/v3/images/591e41dc7aeb4624b51767e964df1080,Normal/satisfactory,50.923,2,Absent,595,μS / cm,0,ppb,0.46,0.3,0.75,0.27,0.95,7.1,29.4,C,5,NTU,NA,Point of collection,3/7/2020,0,2.87,safe,https://api.mwater.co/v3/images/91c766e540594d8d999b541fd2fd46fc
17/06/2019,Nolo Primary school water point,-15.8525974,35.5452971,https://api.mwater.co/v3/images/4eab33202a3e4e2888721d8c0aafd8f3,Normal/satisfactory,45.011,1,Absent,169.1,μS / cm,5,ppb,0.05,1.3,0.3,0.06,0,6.71,26.5,C,5,NTU,The bolehole was in good condition just needed minor repairs,Point of collection,6/14/2019,0,2.87,safe,https://api.mwater.co/v3/images/716bbe1ae3304e59bf2e556afae457a3
25/06/2019,Phwitiko borehole 1,-15.87336396,35.45904964,https://api.mwater.co/v3/images/90a0ba8081284bce83af02ea25dbd750,Normal/satisfactory,50.931,1,Present,870,μS / cm,5,ppb,0.4,1.2,0.7,0.44,0,7.03,27.9,C,5,NTU,The community was all praises for the project since it has helped them to have good quality water,Point of collection,6/24/2019,0,2.87,safe,https://api.mwater.co/v3/images/dd904e8e07bd4eeba98748401b5a66e9
04/07/2019,Mbunumbu  water point 1,-15.8150851,35.5011462,https://api.mwater.co/v3/images/995878e3cbd54b5aab836fcb8d69a2cc,Normal/satisfactory,33.02,1,Absent,938,μS / cm,5,ppb,0.15,0.8,0.1,0.46,0,7.5,26,C,5,NTU,NA,Point of collection,6/26/2019,0,2.87,safe,https://api.mwater.co/v3/images/16901f82895d47a6a198e89253df3615
09/07/2019,Kukada water point 1,-15.8576015,35.5406643,https://api.mwater.co/v3/images/a45fd7e94982499ebbf57772b44ac91c; https://api.mwater.co/v3/images/fd0d9d56bd59407081b8d8f5a576d2c3,"Normal/satisfactory , Significant friction (very stiff) on down stroke",56.581,1,Present,138,μS / cm,5,ppb,0.05,0.2,0.7,0.08,0,7.5,31.9,C,10,NTU,NA,Point of collection,7/8/2019,0,2.87,safe,https://api.mwater.co/v3/images/674a6c9f7eab4abc917a12f1ad839522
09/12/2019,Kukada water point 1,-15.8576015,35.5406643,https://api.mwater.co/v3/images/b841595f588f46babc0cdb4137e7b6bf,Normal/satisfactory,42.604,1,Present,142,μS / cm,5,ppb,0.5,0.07,0.67,0.6,0.5,7.01,32.1,C,50,NTU,NA,Point of collection,12/7/2019,0,2.87,safe,https://api.mwater.co/v3/images/e01600ff46434dbfa31acc024017d62b
23/02/2020,Kukada water point 1,-15.8576015,35.5406643,https://api.mwater.co/v3/images/d0fc7cbbe9e24dc994825c531c7ef17c,Normal/satisfactory,39.523,2,Absent,660,μS / cm,0,ppb,0.78,0.12,0.6,0.33,0.9,6.71,29.4,C,50,NTU,NA,Point of collection,2/22/2020,0,2.87,safe,https://api.mwater.co/v3/images/ee6af6d05a9a44a2aadf7925b39c9431
07/07/2019,Makokola,-15.83991222,35.39773569,https://api.mwater.co/v3/images/ea2bd7250e9c49e89c659744473198b5; https://api.mwater.co/v3/images/269a7f2524d2426c846cb42756c86571; https://api.mwater.co/v3/images/8c0fe16724914b92abcda52c7bc69362,Normal/satisfactory,59.531,2,Absent,1665,μS / cm,5,ppb,1.5,0.4,4,0.85,0,7.2,28.3,C,5,NTU,NA,NA,6/15/2019,0,2.87,safe,https://api.mwater.co/v3/images/b9e56de74de04ce0bebc402cfb5de4b1
04/07/2019,Mwetiheni Julius Borehole,-15.7974075,35.4850538,https://api.mwater.co/v3/images/98cc2500858b48a5acd23f78ce135103; https://api.mwater.co/v3/images/58283b1049ac46deb74220192aedc44f; https://api.mwater.co/v3/images/c9c6bebfd8ed44c28571fbe26c4c25cd,Normal/satisfactory,41.721,1,Absent,2713,μS / cm,5,ppb,0.15,0.2,0.4,1.4,0,7.2,27,C,5,NTU,NA,Point of collection,7/2/2019,0,2.87,safe,https://api.mwater.co/v3/images/8d446a1bb39b4d69a687544c3fd3f0e2
07/07/2019,Nkando,-15.9224343,35.3579749,https://api.mwater.co/v3/images/b7adcabe347548a296dbc2f67e425f33,Normal/satisfactory,48.861,2,Absent,710,μS / cm,5,ppb,3,0.1,4,0.36,0,7,25.1,C,5,NTU,NA,Point of collection,6/18/2019,0,2.87,safe,https://api.mwater.co/v3/images/21bf59547d0945c783c8d6e887ae89a5
05/07/2019,Mwangothaya primary school borehole,-15.892621,35.4050999,https://api.mwater.co/v3/images/d13d42829b1f4f539b02b9cfc1180c83; https://api.mwater.co/v3/images/299a7eb7077542f08cb186790347edb3,Normal/satisfactory,42.562,1,Absent,184.4,μS / cm,5,ppb,1,0.8,0.2,0.09,0,7.32,25.6,C,10,NTU,The borehole is now functioning after the rehabilitation.,Point of collection,7/5/2019,0,2.87,safe,https://api.mwater.co/v3/images/a378e6b6a3e84f5a8f005a9848eb13ee
08/12/2019,Mwangothaya primary school borehole,-15.892621,35.4050999,https://api.mwater.co/v3/images/4c77e64c6b1f4266b2cf534333b80842; https://api.mwater.co/v3/images/0b2fc1a1d4264e95b4215364bdb6a274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"After the chlorination team left the borehole, it is reported that children who came to draw water from it broke it on the second stroke! Currently the borehole is not functional",NA,NA,NA,NA,NA,NA
22/06/2019,Mwawalo Milonga CDSS Borehole,-15.8960036,35.4829022,https://api.mwater.co/v3/images/9af24f9c6f9b4ac59944b1521d9e14a2; https://api.mwater.co/v3/images/8e469ae7f27342cf8d77ee4805e472ce; https://api.mwater.co/v3/images/e7f625756b264b9385979aff99d5851e,Normal/satisfactory,43.59,1,Absent,254.6,μS / cm,5,ppb,0.7,0.12,0.5,0.4,0,6.62,24.9,C,5,NTU,The water flow has improved after rehabilitation and the sideways wobbling of the handle has stopped. The community is thankful for the work done.,Point of collection,6/21/2019,0,2.87,safe,https://api.mwater.co/v3/images/ce2cc94711d54d03b9339547ca74b197
07/07/2019,Nachongo,-15.8896847,35.3665763,https://api.mwater.co/v3/images/aa79f6246ce94492b6b60ffa184c477a,Normal/satisfactory,49.361,3,Absent,3110,μS / cm,5,ppb,0,0.6,0,1.58,0,6.95,24.3,C,5,NTU,NA,Point of collection,6/26/2019,0,2.87,safe,https://api.mwater.co/v3/images/ae5d371e1e28406a861e482482122d8f
16/06/2019,Mponda borehole 2,-15.9826255,35.4743338,https://api.mwater.co/v3/images/79eef150432b4953b50624971ee9f244,Normal/satisfactory,52.096,1,Present,172,μS / cm,5,ppb,0.2,1,4,0.8,0,7.5,23.8,C,15,NTU,The borehole brings out dirty water during rainy season which suggests that the borehole did not go deeper when being drilled.,Point of collection,6/15/2019,0,2.87,safe,https://api.mwater.co/v3/images/7f4266f15c374dd9947b32fec7e33704
05/12/2019,Mponda borehole 2,-15.9826255,35.4743338,https://api.mwater.co/v3/images/b1219d79c1aa4e28a069c53803ee7e9e,Normal/satisfactory,47.691,2,Absent,181.5,μS / cm,0,ppb,0.17,0.11,0.38,0.09,0.15,7,28.8,C,5,NTU,NA,Point of collection,12/4/2019,0,2.87,safe,https://api.mwater.co/v3/images/b5b92670d43e49239fc6f3ee61fbf35a
24/02/2020,Mponda borehole 2,-15.9826255,35.4743338,https://api.mwater.co/v3/images/a36d8fab313c4bd4906866d794d3ef9c,Normal/satisfactory,47.101,2,Absent,183.7,μS / cm,0,ppb,0.18,0.12,0.2,0.1,0,7.5,29.2,C,10,NTU,NA,Point of collection,2/22/2020,100,9435.1,unsafe,https://api.mwater.co/v3/images/50650c5f6fd64e7fbcee51f21b8b8fcc
08/07/2019,Mitumbira Providence Borehole,-15.9998606,35.4429152,https://api.mwater.co/v3/images/19b3e6a764234ee1ba6df1d09baf4224; https://api.mwater.co/v3/images/f8ccbfd294f240e69bb9babd406da682,Normal/satisfactory,37.851,1,Absent,215.7,μS / cm,0.5,ppb,2.4,0.2,0.5,0.1,0,6.2,25,C,5,NTU,NA,Point of collection,6/17/2019,0,2.87,safe,https://api.mwater.co/v3/images/f9d763bd60374df48e921d0a77f595a9
05/07/2019,Nakoma borehole 01,-15.9382763,35.3405935,https://api.mwater.co/v3/images/25af74c36215459b8170fba68cb5d261,Normal/satisfactory,50.052,1,Absent,495,μS / cm,5,ppb,0.98,0.1,1,0.22,0,7,25,C,5,NTU,NA,Point of collection,6/21/2019,0,2.87,safe,https://api.mwater.co/v3/images/cfbfa5da419c4867becae06a3299d029
09/03/2020,Nakoma borehole 01,-15.9382763,35.3405935,https://api.mwater.co/v3/images/a3a4dd9cc25b4c5e8e21dae5dfda3d0d,Normal/satisfactory,40.962,2,Absent,511,μS / cm,0,ppb,0.3,0.37,0.81,0.29,0.95,7.5,29.6,C,5,NTU,NA,Point of collection,3/7/2020,0,2.87,safe,https://api.mwater.co/v3/images/2937a288e78a43c7ad00cd398c3e87fb
22/06/2019,Matanya borehole,-15.8519217,35.5590484,https://api.mwater.co/v3/images/e850d409dcdc4e2f9dbef2834c2e44a4,Normal/satisfactory,46.232,2,Absent,299.6,μS / cm,5,ppb,0.65,0.4,0.2,0.14,0,6.9,24.5,C,15,NTU,NA,Point of collection,6/22/2019,0,2.87,safe,https://api.mwater.co/v3/images/7e6985793f924904a34287ed0d28eca0
09/03/2020,Matanya borehole,-15.8519217,35.5590484,https://api.mwater.co/v3/images/f76809773bb441849d40fe8c15e7e6eb,Normal/satisfactory,44.21,2,Present,220,μS / cm,0,ppb,0.3,0.03,0.04,0.16,0.7,6.5,28.6,C,50,NTU,NA,Point of collection,3/8/2020,0,2.87,safe,https://api.mwater.co/v3/images/6839885c54124b5ab0667479295241d9
02/07/2019,Kumwanje (Ngakusa)borehole  01,-15.9669949,35.3153767,https://api.mwater.co/v3/images/12a420cf10a14364a646b7a4e8b7ba42; https://api.mwater.co/v3/images/c31e6c3900d34fb98b7a6c088c5abc61; https://api.mwater.co/v3/images/a9550997099544edb606bbef7772de40,Normal/satisfactory,43.981,1,Absent,432,μS / cm,0,ppb,0.25,0.1,1.4,0.2,0.3,7.41,27.4,C,5,NTU,NA,Point of collection,7/1/2019,0,2.87,safe,https://api.mwater.co/v3/images/46f92c85ad63417685a624324bfb3ca6
04/07/2019,Gumulira borehole 03,-15.9891692,35.4219706,https://api.mwater.co/v3/images/f59c15aa3e6c4aa7bbcce2755ed7c4ba; https://api.mwater.co/v3/images/4174de951cbe476981958eb34d91981d; https://api.mwater.co/v3/images/c3fbbcd85204487fbe57c05c5e5c1b2c,Normal/satisfactory,54.37,2,Absent,246,μS / cm,5,ppb,0.24,0.1,0.1,0.12,0,7.3,29,C,5,NTU,NA,Point of collection,7/4/2019,0,2.87,safe,https://api.mwater.co/v3/images/343e76fed6c0499f9d3bad0ad7f1c86a
08/07/2019,Kamoto Village Borehole,-15.8617714,35.5334779,https://api.mwater.co/v3/images/324568eeeb2f447d83c14b58e7995a3d; https://api.mwater.co/v3/images/5d5e3c4a972a4aab9fae6242e3f14c2b,Normal/satisfactory,50.65,1,Absent,20,μS / cm,5,ppb,0.15,0.2,0.5,0.01,0,6.5,26,C,5,NTU,NA,Point of collection,6/24/2019,0,2.87,safe,https://api.mwater.co/v3/images/233a316452064d83947564bc2037b532
02/07/2019,Msikita Borehole,-15.8768745,35.5041901,https://api.mwater.co/v3/images/7c66c0ec1bde4ceeabeed1485370fde6,Normal/satisfactory,56.291,1,Absent,50.9,μS / cm,0,ppb,0.7,0.8,0.8,0.02,0.1,6.74,20.7,C,5,NTU,The bolehole is functioning after rehabilitation seems to be in good condition CBM Training done,Point of collection,6/28/2019,0,2.87,safe,https://api.mwater.co/v3/images/37a8e605fd3241d891704d98d9a3c791
05/07/2019,Ndanga primary school borehole,-15.675725,35.3817983,https://api.mwater.co/v3/images/08c8bd6b61504eaaba272a6dabfccbad; https://api.mwater.co/v3/images/6acaf96b13534aa8a6850bfa4d2b03a4; https://api.mwater.co/v3/images/2673d6b0160548daa5e4675e4b16e5f2,Normal/satisfactory,63.05,1,Absent,1594,μS / cm,5,ppb,2.1,0.6,1.6,0.8,0,7.4,26.9,C,5,NTU,NA,Point of collection,7/5/2019,0,2.87,safe,https://api.mwater.co/v3/images/7c03551fcf33442cb178a9286356b941
07/07/2019,Mulunguzi Borehole 1,-15.879445,35.33944,https://api.mwater.co/v3/images/b1473d4e3c3e4661bdf9beb8689acb00; https://api.mwater.co/v3/images/c9401ed639fd408ba6b398683d03c310,Normal/satisfactory,51.392,3,Absent,745,μS / cm,0,ppb,0.3,0,1,0.37,0,7.63,34.5,C,5,NTU,NA,Point of collection,7/2/2019,0,2.87,safe,https://api.mwater.co/v3/images/4401e53f206d48958c4eb802ee88542f
07/07/2019,Nkatasi Proper Borehole,-15.7222644,35.384342,https://api.mwater.co/v3/images/4080beda1d6f46a6a818c4ef6e6628f1; https://api.mwater.co/v3/images/013d1065e2a846caa3f369d9aac553f0,Normal/satisfactory,54.784,3,Absent,758,μS / cm,0,ppb,0.45,1.6,0.1,0.37,0,7.67,28.7,C,5,NTU,NA,Point of collection,7/3/2019,0,2.87,safe,https://api.mwater.co/v3/images/e93ef0a25f3e445baa2a22ea76411fa7
